2010 Population,City
"18,897,109",New York
"12,828,837",Los Angeles
"9,461,105",Chicago
"6,371,773",Dallas
"5,965,343",Philadelphia
"5,946,800",Houston
"5,582,170",Washington
"5,564,635",Miami
"5,268,860",Atlanta
"4,552,402",Boston
"4,335,391",San Francisco
"4,296,250",Detroit
"4,224,851",Riverside
"4,192,887",Phoenix
"3,439,809",Seattle
"3,279,833",Minneapolis
"3,095,313",San Diego
"2,812,896",St. Louis
"2,783,243",Tampa
"2,710,489",Baltimore
"2,543,482",Denver
"2,356,285",Pittsburgh
"2,226,009",Portland
"2,149,127",Sacramento
"2,142,508",San Antonio
"2,134,411",Orlando
"2,130,151",Cincinnati
"2,077,240",Cleveland
"2,035,334",Kansas City
"1,951,269",Las Vegas
"1,836,911",San Jose
"1,836,536",Columbus
"1,758,038",Charlotte
"1,756,241",Indianapolis
"1,716,289",Austin
"1,671,683",Virginia Beach
"1,600,852",Providence
"1,589,934",Nashville
"1,555,908",Milwaukee
"1,345,596",Jacksonville
"1,316,100",Memphis
"1,283,566",Louisville
"1,258,251",Richmond
"1,252,987",Oklahoma City
"1,212,381",Hartford
"1,167,764",New Orleans
"1,135,509",Buffalo
"1,130,490",Raleigh
"1,128,047",Birmingham
"1,124,197",Salt Lake City
"1,054,323",Rochester
